Numero de particulas;Tiempo medio
0;22,222
0;9,091
0;45,455
0;45,455
0;43,478
0;71,429
0;45,455
0;52,632
0;50
0;45,455
0;55,556
0;50
0;45,455
0;50
0;58,824
0;43,478
0;58,824
0;47,619
0;52,632
0;45,455
0;52,632
0;55,556
0;47,619
0;47,619
0;50
0;55,556
0;47,619
0;52,632
0;45,455
0;52,632
0;50
0;50
0;45,455
0;52,632
0;52,632
0;45,455
0;55,556
0;47,619
0;52,632
0;52,632
0;50
0;50
0;45,455
0;50
0;50
0;47,619
0;55,556
0;50
0;47,619
0;52,632
0;50
0;52,632
1;45,455
1;52,632
1;50
1;47,619
1;55,556
1;41,667
2;52,632
2;47,619
2;55,556
2;52,632
2;47,619
3;50
3;47,619
3;58,824
3;41,667
3;58,824
4;47,619
4;50
4;50
4;52,632
4;43,478
4;62,5
5;50
5;41,667
5;52,632
5;55,556
5;47,619
6;50
6;55,556
6;47,619
6;45,455
6;55,556
6;47,619
7;45,455
7;52,632
7;50
7;52,632
8;50
8;50
8;47,619
8;52,632
8;52,632
8;43,478
9;58,824
9;50
9;43,478
9;50
9;58,824
10;43,478
10;52,632
10;52,632
10;43,478
11;62,5
11;43,478
11;58,824
11;41,667
12;50
12;62,5
12;47,619
12;47,619
12;45,455
162;55,556
162;55,556
162;47,619
162;47,619
162;58,824
162;47,619
312;47,619
312;52,632
312;50
312;50
312;50
461;45,455
461;58,824
461;43,478
461;47,619
462;58,824
611;52,632
611;47,619
611;43,478
611;58,824
612;50
612;47,619
761;52,632
761;47,619
761;45,455
762;58,824
762;47,619
911;52,632
911;50
911;47,619
911;50
911;52,632
911;47,619
1060;50
1060;52,632
1060;47,619
1060;50
1209;47,619
1209;55,556
1210;47,619
1210;52,632
1210;50
1210;43,478
1359;50
1360;58,824
1360;50
1360;47,619
1360;45,455
1509;55,556
1510;52,632
1510;43,478
1510;55,556
1659;52,632
1659;52,632
1660;47,619
1660;47,619
1809;52,632
1809;52,632
1809;50
1810;43,478
1810;52,632
1959;50
1959;47,619
1959;50
1960;45,455
1960;55,556
1960;58,824
2109;45,455
2109;45,455
2110;58,824
2110;50
2110;50
2110;43,478
2110;58,824
2111;50
2111;43,478
2260;55,556
2260;52,632
2260;50
2260;50
2261;47,619
2410;45,455
2410;55,556
2410;52,632
2410;41,667
2411;58,824
2560;47,619
2560;50
2560;55,556
2560;50
2561;47,619
2561;52,632
2561;50
2561;50
2561;45,455
2562;52,632
2562;50
2562;47,619
2562;55,556
2562;47,619
2712;43,478
2712;55,556
2712;55,556
2712;47,619
2712;50
2862;50
2862;55,556
2862;43,478
2862;41,667
2863;71,429
3012;47,619
3012;47,619
3012;52,632
3012;31,25
3013;142,857
3162;41,667
3162;55,556
3162;50
3162;50
3163;52,632
3312;47,619
3312;47,619
3312;41,667
3312;66,667
3313;50
3462;50
3462;47,619
3462;31,25
3463;111,111
3463;47,619
3612;50
3612;47,619
3612;41,667
3613;58,824
3613;35,714
3762;111,111
3762;45,455
3762;47,619
3763;50
3763;47,619
3763;55,556
3912;34,483
3912;90,909
3913;50
3913;47,619
3913;50
4062;47,619
4062;52,632
4062;55,556
4063;47,619
4063;50
4212;34,483
4212;90,909
4212;50
4213;47,619
4213;55,556
4362;47,619
4362;47,619
4362;52,632
4362;47,619
4362;47,619
4511;58,824
4511;50
4511;50
4511;31,25
4512;90,909
4661;45,455
4661;43,478
4661;62,5
4661;50
4810;30,303
4810;90,909
4810;43,478
4810;47,619
4810;55,556
4959;52,632
4959;47,619
4959;50
4959;45,455
4959;55,556
5108;50
5108;50
5108;47,619
5108;52,632
5108;50
5257;50
5257;50
5257;50
5257;43,478
5406;58,824
5406;52,632
5406;47,619
5406;52,632
5406;50
5555;50
5555;52,632
5555;47,619
5555;43,478
5555;62,5
5704;47,619
5704;43,478
5704;52,632
5704;55,556
5704;43,478
5853;58,824
5853;41,667
5853;62,5
5853;43,478
5853;58,824
5853;50
6002;47,619
6002;45,455
6002;58,824
6002;45,455
6002;50
6151;55,556
6151;50
6151;52,632
6151;45,455
6151;50
6151;41,667
6151;66,667
6151;50
6151;45,455
6151;55,556
6151;50
6300;50
6300;50
6300;50
6300;50
6300;50
6300;47,619
6300;52,632
6300;47,619
6300;50
6300;52,632
6300;43,478
6300;58,824
6300;50
6300;47,619
6300;41,667
6300;62,5
6300;50
6300;45,455
